version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_name,metric_before,metric_after,run_file
v0,cuongtv,baseline,v0+p233ec2cecfdf+teb3e2243f237,233ec2cecfdf,eb3e2243f237,baseline,Đo hành vi chưa tối ưu trước khi sửa,case_accuracy,,0.6333,runs/v0_B_base_openrouter_20260914T184128472178.json
v1,cuongtv,system_prompt.md,v1+p9ec35c2657b6+teb3e2243f237,9ec35c2657b6,eb3e2243f237,Bổ sung nguyên tắc cấm đoán ID và quy định clarify cho missing info,Quy tắc cấm đoán ID và dùng clarify khi thiếu asset_id/employee_id sẽ khắc phục nhóm lỗi thiếu thông tin và tăng độ chính xác routing,case_accuracy,0.6333,0.7931,runs/v1_B_base_openai_compatible_20260914T185308588747.json
v2,cuongtv,tools.yaml,v2+pbd4fe3890848+t2548cb341635,bd4fe3890848,2548cb341635,Chuẩn hóa mô tả schema và hướng dẫn gọi tool clarify yes_no cùng hướng dẫn gọi song song,Làm rõ schema và hướng dẫn gọi clarify yes_no trong tools.yaml sẽ loại bỏ hoàn toàn lỗi confirmation text và nâng cao multiturn accuracy,case_accuracy,0.7931,0.8000,runs/v2_B_base_openai_compatible_20260914T190158034360.json
v3,cuongtv,system_prompt.md,v3+p5bb8b8c93d48+t2548cb341635,5bb8b8c93d48,2548cb341635,Hoàn thiện quy tắc chốt ticket clarification và cô lập môi trường demo kết hợp parallel tool routing,Ràng buộc chặt chẽ quy tắc tạo ticket không gọi chẩn đoán trước và bắt buộc clarify choice cho môi trường demo sẽ đạt độ chính xác tối đa,case_accuracy,0.8000,1.0000,runs/v3_B_base_openai_compatible_20260914T192938771342.json
